eci,小区中文名,所属地区,RRU经度,RRU纬度,天线挂高,地面海拔,覆盖类型(0是室外，1是室内）,覆盖类别,覆盖场景,方位角,机械下倾角,电子下倾角,归属区县,厂家名称,TAC,PCI,中心载频的信道号
13374978,公安群力-ELH-2,荆州,112.14735,30.12405,42,31,0,5,32,157,0,3,公安县,爱立信,29173,203,38400
13406721,公安铜桥-ELH-1,荆州,112.01119,29.88302,38,32,0,5,27,50,1,0,公安县,爱立信,29170,425,38400
